,actor_id,type,public_repos,public_gists,followers,following
843,4701703,User,49,1,22,1
844,4710215,User,20,185,16,4
845,4710635,User,25,0,597,2
846,4718607,User,217,21,14,1
847,4734691,User,132,43,239,4
848,4781841,User,11,3,26,0
849,4807083,User,59,3,166,10
850,4830259,User,9,5,7,0
851,4931545,User,59,0,14,3
852,4945294,User,17,1,25,8
853,4974420,User,31,0,9,1
854,4990487,User,5,0,3,1
855,4992947,User,82,0,11,0
856,5001092,User,58,11,269,0
857,5001742,User,102,0,0,0
858,5003238,User,84,1,122,11
859,5013060,User,56,6,122,2
860,5021403,User,27,0,7,0
861,5022927,User,83,5,2824,132
862,5033146,User,6,0,5,0
863,5039531,User,20,4,10,3
864,5047365,User,147,17,295,2
865,5057353,User,8,0,3,0
866,5063478,User,28,4,19,0
867,5082376,User,51,69,15,90
868,5086322,User,65,9,23,4
869,5090588,User,3,0,0,0
870,5091355,User,26,0,1,0
871,5110323,User,155,4,376,118
872,5112397,User,144,1,2,5
873,5124786,User,34,4,3,3
874,5127634,User,248,67,343,18
875,5129024,User,266,67,9,6
876,5130391,User,24,0,4,1
877,5131911,User,35,4,22,2
878,5133557,User,7,13,105,419
879,5140827,User,27,7,19,13
880,5176598,User,21,5,23,23
881,5187874,User,31,2,68,0
882,5194711,User,27,0,37,1
883,5195984,User,13,1,6,14
884,5204968,User,65,4,102,300
885,5205802,User,5,0,5,1
886,5217170,User,82,31,185,0
887,5219209,User,8,0,1,0
888,5240450,User,5,2,60,63
